epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,5238.6,0.99576,0.70782,1.19795,0.86321,0.84493,0.8892,0.60504,1.24844,0.63298,1.33701,0.001368,0.001368,0.001368
77,5376.62,0.99785,0.70493,1.19206,0.86237,0.84427,0.88944,0.60493,1.24804,0.63206,1.3365,0.00136224,0.00136224,0.00136224
78,5513.36,1.00107,0.70537,1.19783,0.861,0.84654,0.88974,0.60555,1.24789,0.63087,1.3365,0.00135648,0.00135648,0.00135648
79,5648.78,0.99213,0.70353,1.19596,0.86073,0.84678,0.89009,0.60606,1.24749,0.63012,1.33604,0.00135072,0.00135072,0.00135072
80,5784.16,0.99831,0.70034,1.19109,0.86135,0.84715,0.8904,0.60599,1.2471,0.62975,1.33543,0.00134496,0.00134496,0.00134496
81,5919.55,0.99434,0.70211,1.19258,0.86103,0.847,0.88983,0.60598,1.24666,0.62878,1.33483,0.0013392,0.0013392,0.0013392
82,6054.48,0.99809,0.70111,1.19422,0.862,0.84709,0.89,0.60522,1.2464,0.62793,1.33461,0.00133344,0.00133344,0.00133344
83,6189.71,0.98973,0.69899,1.19385,0.86159,0.84701,0.8902,0.60554,1.24571,0.62679,1.33381,0.00132768,0.00132768,0.00132768
84,6324.74,0.98631,0.69543,1.1931,0.86225,0.84726,0.89018,0.60602,1.24517,0.6263,1.33348,0.00132192,0.00132192,0.00132192
85,6459.94,0.9887,0.69344,1.18596,0.86215,0.84783,0.89034,0.60571,1.24491,0.62568,1.33353,0.00131616,0.00131616,0.00131616
86,6595.12,0.98859,0.6946,1.18429,0.86273,0.84857,0.89067,0.60637,1.24476,0.625,1.33329,0.0013104,0.0013104,0.0013104
87,6730.52,0.98764,0.69054,1.1868,0.86377,0.84818,0.89121,0.60671,1.24484,0.62371,1.33342,0.00130464,0.00130464,0.00130464
88,6865.59,0.99208,0.69662,1.18697,0.86263,0.84965,0.89116,0.60685,1.24511,0.62321,1.3336,0.00129888,0.00129888,0.00129888
89,7003.4,0.98642,0.68944,1.18742,0.86387,0.84962,0.89146,0.60717,1.24474,0.62248,1.33335,0.00129312,0.00129312,0.00129312
90,7141.5,0.98661,0.69133,1.18835,0.86465,0.84984,0.89116,0.60753,1.24416,0.62182,1.33309,0.00128736,0.00128736,0.00128736
91,7282.99,0.97928,0.6809,1.1829,0.86563,0.85,0.89182,0.60819,1.24413,0.62102,1.3329,0.0012816,0.0012816,0.0012816
92,7418.92,0.97514,0.68547,1.17763,0.8673,0.84773,0.89192,0.60882,1.24409,0.62022,1.33275,0.00127584,0.00127584,0.00127584
93,7554.13,0.97992,0.68005,1.18564,0.86746,0.84824,0.89175,0.60921,1.24345,0.61966,1.33226,0.00127008,0.00127008,0.00127008
94,7689.3,0.98272,0.68644,1.18262,0.86658,0.84848,0.89225,0.60925,1.24309,0.61916,1.33197,0.00126432,0.00126432,0.00126432
95,7824.71,0.98018,0.68129,1.18449,0.86922,0.84666,0.89268,0.60964,1.24248,0.61821,1.33161,0.00125856,0.00125856,0.00125856
96,7959.71,0.98097,0.67879,1.17975,0.86811,0.84912,0.8932,0.60937,1.24232,0.61723,1.33136,0.0012528,0.0012528,0.0012528
97,8095.32,0.97763,0.67996,1.17537,0.8676,0.84834,0.89304,0.60964,1.24198,0.61627,1.33112,0.00124704,0.00124704,0.00124704
98,8234.51,0.96926,0.67276,1.17794,0.86632,0.84923,0.89285,0.60942,1.24165,0.61544,1.33069,0.00124128,0.00124128,0.00124128
99,8372.17,0.97269,0.68016,1.18138,0.86633,0.84965,0.89293,0.60992,1.24158,0.61475,1.33067,0.00123552,0.00123552,0.00123552
100,8512.09,0.9787,0.67462,1.17998,0.86702,0.84899,0.89309,0.61051,1.24094,0.61442,1.3302,0.00122976,0.00122976,0.00122976
101,8659.17,0.96798,0.66567,1.171,0.86705,0.84845,0.89349,0.61093,1.2403,0.61395,1.32944,0.001224,0.001224,0.001224
102,143.942,0.96446,0.67356,1.18147,0.86784,0.84771,0.89353,0.61124,1.24022,0.61396,1.32963,0.00121824,0.00121824,0.00121824
103,299.373,0.96944,0.67622,1.17789,0.86793,0.84771,0.89372,0.61113,1.23998,0.61397,1.32946,0.00121248,0.00121248,0.00121248
104,442.074,0.97778,0.67389,1.18524,0.86854,0.84716,0.89382,0.61088,1.23992,0.61391,1.32944,0.00120672,0.00120672,0.00120672
105,578.607,0.96777,0.67346,1.17766,0.86774,0.84679,0.89399,0.61143,1.23961,0.61358,1.32926,0.00120096,0.00120096,0.00120096
106,713.54,0.97149,0.67264,1.17522,0.86892,0.84667,0.89391,0.61129,1.23931,0.6131,1.32916,0.0011952,0.0011952,0.0011952
107,848.151,0.97001,0.67234,1.1794,0.86929,0.84677,0.89392,0.6115,1.23939,0.61297,1.32905,0.00118944,0.00118944,0.00118944
108,982.861,0.96899,0.67473,1.18243,0.87038,0.84668,0.89436,0.61171,1.23944,0.61262,1.329,0.00118368,0.00118368,0.00118368
109,1119.85,0.9751,0.67869,1.18124,0.86965,0.84905,0.89457,0.612,1.2394,0.61238,1.32891,0.00117792,0.00117792,0.00117792
110,1257.07,0.96541,0.6708,1.1768,0.87079,0.84787,0.89493,0.61189,1.23925,0.61222,1.32886,0.00117216,0.00117216,0.00117216
111,1394.38,0.96468,0.67027,1.17318,0.87089,0.84801,0.89519,0.61211,1.2391,0.61155,1.32871,0.0011664,0.0011664,0.0011664
112,1531.12,0.9574,0.66528,1.17333,0.87057,0.85018,0.89533,0.61197,1.23907,0.6117,1.32873,0.00116064,0.00116064,0.00116064
113,1668.43,0.9619,0.66228,1.17358,0.87104,0.85041,0.89534,0.61216,1.23875,0.61138,1.32858,0.00115488,0.00115488,0.00115488
114,1805.47,0.96533,0.66368,1.17184,0.8707,0.8511,0.89573,0.61273,1.23841,0.61085,1.32847,0.00114912,0.00114912,0.00114912
115,1942.82,0.96642,0.67172,1.17392,0.86891,0.85213,0.89587,0.61303,1.23808,0.61073,1.32821,0.00114336,0.00114336,0.00114336
116,2079.91,0.9607,0.66108,1.17136,0.86915,0.85218,0.89626,0.61321,1.23776,0.61054,1.32813,0.0011376,0.0011376,0.0011376
117,2214.95,0.9655,0.65842,1.17502,0.86872,0.8526,0.89629,0.61297,1.2376,0.61033,1.32801,0.00113184,0.00113184,0.00113184
118,138.852,0.93722,0.64626,1.16542,0.86922,0.85183,0.89623,0.6134,1.23736,0.6103,1.32804,0.00112608,0.00112608,0.00112608
119,276.856,0.94769,0.65045,1.16594,0.86887,0.85275,0.89617,0.61287,1.23748,0.61024,1.32823,0.00112032,0.00112032,0.00112032
120,411.659,0.95738,0.65024,1.17409,0.86984,0.85234,0.896,0.61311,1.23748,0.60998,1.32828,0.00111456,0.00111456,0.00111456
121,548.442,0.94955,0.65397,1.16614,0.87019,0.85285,0.89588,0.61307,1.23712,0.60984,1.32774,0.0011088,0.0011088,0.0011088
122,687.853,0.9576,0.65613,1.16577,0.8694,0.85288,0.89594,0.61272,1.23717,0.60969,1.32776,0.00110304,0.00110304,0.00110304
123,829.382,0.95538,0.65536,1.16833,0.86995,0.85175,0.89604,0.61305,1.23746,0.60961,1.32807,0.00109728,0.00109728,0.00109728
124,974.981,0.95641,0.65852,1.17208,0.86977,0.85198,0.89623,0.61323,1.23774,0.60963,1.32837,0.00109152,0.00109152,0.00109152
125,1114.61,0.96218,0.66489,1.1707,0.86971,0.85332,0.89638,0.61317,1.23795,0.60945,1.32824,0.00108576,0.00108576,0.00108576
126,1255.62,0.9517,0.65648,1.16697,0.87016,0.85283,0.89655,0.61357,1.23792,0.60882,1.32834,0.00108,0.00108,0.00108
127,1395.09,0.95247,0.65552,1.16517,0.86985,0.85316,0.89664,0.61334,1.23772,0.60893,1.32805,0.00107424,0.00107424,0.00107424
128,1532.92,0.94456,0.6501,1.16701,0.87152,0.85264,0.8969,0.61342,1.23799,0.60879,1.32828,0.00106848,0.00106848,0.00106848
129,1671.07,0.951,0.65337,1.16998,0.87013,0.85412,0.897,0.61389,1.23835,0.60862,1.32886,0.00106272,0.00106272,0.00106272
130,1807.7,0.95652,0.64944,1.16772,0.8716,0.85289,0.89702,0.61402,1.23821,0.60813,1.32874,0.00105696,0.00105696,0.00105696
131,1944.72,0.95489,0.65838,1.17105,0.87187,0.85241,0.89685,0.61405,1.2381,0.60766,1.32862,0.0010512,0.0010512,0.0010512
132,2081.97,0.95015,0.65076,1.16853,0.87303,0.85276,0.89679,0.6138,1.23832,0.60737,1.32894,0.00104544,0.00104544,0.00104544
133,2216.83,0.95562,0.64571,1.16794,0.8734,0.85291,0.89704,0.61415,1.23813,0.60714,1.3289,0.00103968,0.00103968,0.00103968
134,2351.08,0.95905,0.65776,1.16871,0.87358,0.85182,0.89706,0.61395,1.23804,0.60735,1.32884,0.00103392,0.00103392,0.00103392
135,2485.91,0.94431,0.64779,1.16243,0.87408,0.85185,0.89746,0.61427,1.238,0.60731,1.32888,0.00102816,0.00102816,0.00102816
136,2621.01,0.94793,0.63766,1.16181,0.87381,0.85241,0.89746,0.61418,1.23818,0.60735,1.32905,0.0010224,0.0010224,0.0010224
137,2755.81,0.94334,0.64556,1.16176,0.87382,0.85287,0.89781,0.61433,1.23815,0.60724,1.32894,0.00101664,0.00101664,0.00101664
138,2890.41,0.94568,0.64354,1.16221,0.87369,0.85225,0.89768,0.61483,1.2384,0.60684,1.32928,0.00101088,0.00101088,0.00101088
139,3024.54,0.95258,0.64721,1.166,0.87315,0.85287,0.89766,0.61503,1.23854,0.60675,1.32962,0.00100512,0.00100512,0.00100512
140,3158.35,0.93955,0.63962,1.15987,0.87228,0.85293,0.89763,0.61515,1.23914,0.60649,1.33008,0.00099936,0.00099936,0.00099936
141,3292.82,0.94401,0.64075,1.16116,0.87188,0.85263,0.8976,0.61514,1.23901,0.60658,1.3299,0.0009936,0.0009936,0.0009936
142,3429.33,0.93789,0.64121,1.15579,0.87156,0.8536,0.8978,0.61551,1.23875,0.60619,1.32998,0.00098784,0.00098784,0.00098784
143,3566.09,0.94736,0.64766,1.15953,0.87012,0.85442,0.89686,0.61557,1.23861,0.60613,1.32987,0.00098208,0.00098208,0.00098208
144,3701.15,0.94541,0.64757,1.16366,0.87084,0.85298,0.89655,0.61576,1.23837,0.60581,1.32986,0.00097632,0.00097632,0.00097632
145,3835.88,0.94387,0.6413,1.15929,0.87119,0.85223,0.89633,0.61571,1.23799,0.60478,1.32941,0.00097056,0.00097056,0.00097056
146,3970.64,0.94238,0.64056,1.15746,0.86972,0.85382,0.89643,0.61576,1.23814,0.60484,1.32964,0.0009648,0.0009648,0.0009648
147,4118.57,0.93862,0.63632,1.15588,0.87014,0.85336,0.89616,0.6157,1.23755,0.60442,1.32894,0.00095904,0.00095904,0.00095904
148,4259.76,0.93971,0.64008,1.16016,0.8727,0.85031,0.89633,0.61592,1.23761,0.60367,1.32881,0.00095328,0.00095328,0.00095328
149,4396.3,0.93767,0.63382,1.15536,0.87153,0.85214,0.89664,0.61607,1.23751,0.60334,1.32883,0.00094752,0.00094752,0.00094752
150,4532.1,0.94525,0.63603,1.16193,0.87336,0.85039,0.89684,0.61625,1.23747,0.60256,1.32896,0.00094176,0.00094176,0.00094176
151,4667.84,0.94087,0.63661,1.15742,0.87297,0.85094,0.89687,0.61588,1.23747,0.60212,1.32907,0.000936,0.000936,0.000936
152,4803.35,0.94187,0.64116,1.15912,0.87436,0.85015,0.89697,0.61609,1.23734,0.60179,1.32902,0.00093024,0.00093024,0.00093024
153,4939.26,0.9382,0.63928,1.15805,0.87444,0.85085,0.89706,0.61597,1.23706,0.60139,1.32875,0.00092448,0.00092448,0.00092448
154,5074.41,0.93451,0.63135,1.15442,0.8748,0.85034,0.89719,0.61652,1.2367,0.60093,1.32844,0.00091872,0.00091872,0.00091872
155,5210.56,0.93597,0.63642,1.15647,0.87532,0.85019,0.89737,0.61641,1.23675,0.6009,1.32825,0.00091296,0.00091296,0.00091296
